Love Ablish,3,1,1,0,0,0,2,0,0,0,0,0,8,L Ablish
Jaskaran Singh,8,5,4,8,4,8,11,72.72,0,0,0,0,8,Jaskaran Singh
D du Preez,2,1,0,10,10,10,13,76.92,0,0,0,0,8,D du Preez
Pravin Tambe,33,6,4,18,7,9,39,46.15,0,0,1,0,8,PV Tambe
Sarabjit Ladda,9,2,1,0,0,0,9,0,0,0,0,0,8,S Ladda
C Nanda,3,1,0,0,0,0,1,0,0,0,0,0,8,C Nanda
TP Sudhindra,3,1,1,0,0,0,0,0,0,0,0,0,8,TP Sudhindra
Makhaya Ntini,9,2,1,11,11,11,18,61.11,0,0,2,0,8,M Ntini
Jasprit Bumrah,31,5,4,9,6,9,14,64.28,0,0,1,0,8,JJ Bumrah
Raju Bhatkal,1,1,0,0,0,0,2,0,0,0,0,0,8,RR Bhatkal
Suraj Randiv,8,1,0,2,2,2,4,50,0,0,0,0,8,S Randiv
Shahbaz Nadeem,48,14,5,24,6,2.66,61,39.34,0,0,1,0,8,S Nadeem
Murugan Ashwin,10,1,0,0,0,0,1,0,0,0,0,0,8,M Ashwin
Chris Jordan,9,1,0,3,3,3,4,75,0,0,0,0,8,CJ Jordan
Pat Cummins,4,1,0,0,0,0,2,0,0,0,0,0,8,PJ Cummins
Dirk Nannes,29,3,2,4,3,4,13,30.76,0,0,0,0,8,DP Nannes
SB Joshi,4,2,0,6,3,3,14,42.85,0,0,0,0,8,SB Joshi
D Kalyankrishna,3,1,0,3,3,3,8,37.5,0,0,0,0,8,D Kalyankrishna
H Das,1,1,0,2,2,2,5,40,0,0,0,0,8,H Das
Pradeep Sangwan,33,10,6,22,6,5.5,31,70.96,0,0,1,0,8,PJ Sangwan
Karanveer Singh,9,4,3,12,5,12,17,70.58,0,0,1,0,8,Karanveer Singh
Sudeep Tyagi,14,3,2,3,3,3,4,75,0,0,0,0,8,S Tyagi
Jayant Yadav,8,2,0,6,5,3,10,60,0,0,0,0,8,J Yadav
Parvinder Awana,33,7,5,5,4,2.5,14,35.71,0,0,0,0,8,P Awana
SM Harwood,3,2,2,9,6,0,14,64.28,0,0,0,0,8,SM Harwood
T Henderson,2,2,0,11,11,5.5,16,68.75,0,0,0,1,8,T Henderson
Kamran Khan,9,2,1,3,3,3,5,60,0,0,0,0,8,Kamran Khan
Udit Birla,2,1,0,7,7,7,14,50,0,0,1,0,8,UA Birla
Ben Hilfenhaus,17,1,1,0,0,0,0,0,0,0,0,0,8,BW Hilfenhaus
Shivil Kaushik,7,2,1,0,0,0,1,0,0,0,0,0,8,S Kaushik
Ali Murtaza,12,3,2,10,5,10,14,71.42,0,0,1,0,8,AG Murtaza
Siddarth Kaul,11,3,3,9,7,0,11,81.81,0,0,0,0,8,S Kaul
