LA Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0,0,LA Carseldine
Robin Peterson,5,5,2,32,16,10.66,30,106.66,0,0,3,1,0,RJ Peterson
Arindam Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,0,0,AN Ghosh
GR Napier,1,1,0,15,15,15,16,93.75,0,0,1,0,0,GR Napier
Sreenath Aravind,28,4,4,27,14,0,17,158.82,0,0,5,0,0,S Aravind
Vikramjeet Malik,13,2,1,7,6,7,7,100,0,0,1,0,0,VS Malik
Abhinav Mukund,3,2,0,19,19,9.5,22,86.36,0,0,1,0,0,A Mukund
LPC Silva,3,3,1,40,23,20,26,153.84,0,0,5,1,0,LPC Silva
Mohammad Hafeez,8,3,1,20,13,10,22,90.9,0,0,2,1,0,Mohammad Hafeez
Joginder Sharma,16,6,2,36,16,9,30,120,0,0,1,2,0,Joginder Sharma
Sean Abbott,2,2,0,15,14,7.5,13,115.38,0,0,1,1,0,SA Abbott
RS Sodhi,3,1,1,4,4,0,2,200,0,0,1,0,0,RS Sodhi
Colin Munro,4,3,0,30,16,10,30,100,0,0,3,0,0,C Munro
Adrian Barath,3,3,1,42,33,21,42,100,0,0,5,1,0,AB Barath
J Arunkumar,3,3,0,23,22,7.66,23,100,0,0,5,0,0,J Arunkumar
Brad Haddin,1,1,0,18,18,18,11,163.63,0,0,2,1,0,BJ Haddin
Asad Pathan,8,7,2,39,14,7.8,23,169.56,0,0,5,2,0,AUK Pathan
Rahul Shukla,7,4,3,19,14,19,23,82.6,0,0,2,0,0,R Shukla
Darren Lehmann,2,2,0,18,17,9,18,100,0,0,3,0,0,DS Lehmann
Harshal Patel,35,14,5,47,10,5.22,34,138.23,0,0,2,3,0,HV Patel
Amit Yadav,8,6,1,49,16,9.8,39,125.64,0,0,5,2,0,AS Yadav
Juan Theron,10,4,2,10,7,5,12,83.33,0,0,1,0,0,J Theron
P Parameswaran,5,1,1,1,1,0,1,100,0,0,0,0,0,P Parameswaran
Abhimanyu Mithun,16,8,3,34,11,6.8,26,130.76,0,0,4,1,0,A Mithun
Doug Bollinger,27,4,3,21,16,21,23,91.3,0,0,1,1,0,DE Bollinger
Ishank Jaggi,5,5,1,43,25,10.75,58,74.13,0,0,3,0,0,IR Jaggi
SS Shaikh,2,1,0,6,6,6,7,85.71,0,0,1,0,0,SS Shaikh
Sumit Narwal,7,4,1,37,23,12.33,27,137.03,0,0,6,0,0,S Narwal
Doug Bracewell,1,1,1,12,12,0,9,133.33,0,0,1,0,0,DAJ Bracewell
VS Yeligati,2,1,0,2,2,2,2,100,0,0,0,0,0,VS Yeligati
Rahul Tewatia,4,1,0,16,16,16,13,123.07,0,0,0,1,0,R Tewatia
Damien Martyn,1,1,0,19,19,19,24,79.16,0,0,1,0,0,DR Martyn
Ankeet Chavan,13,3,1,12,7,6,11,109.09,0,0,2,0,0,AA Chavan
Siddharth Trivedi,76,15,8,42,9,6,59,71.18,0,0,3,1,0,SK Trivedi
Mashrafe Mortaza,1,1,1,2,2,0,2,100,0,0,0,0,0,Mashrafe Mortaza
Nic Maddinson,3,3,0,20,12,6.66,21,95.23,0,0,4,0,0,NJ Maddinson
Kevon Cooper,25,14,5,116,32,12.88,68,170.58,0,0,9,8,0,KK Cooper
Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2,0,AP Majumdar
Lakshmipathy Balaji,73,15,7,36,15,4.5,49,73.46,0,0,2,1,0,L Balaji
MA Khote,4,3,1,24,9,12,22,109.09,0,0,2,1,0,MA Khote
Bodapati Sumanth,5,4,3,35,16,35,37,94.59,0,0,3,0,0,B Sumanth
DT Patil,2,2,0,13,9,6.5,13,100,0,0,1,0,0,DT Patil
Raiphi Gomez,13,9,4,50,26,10,51,98.03,0,0,5,1,0,RV Gomez
Tim Southee,26,8,3,47,25,9.4,32,146.87,0,0,3,2,0,TG Southee
Bhargav Bhatt,17,2,1,6,6,6,7,85.71,0,0,0,1,0,BA Bhatt
SB Bangar,12,8,1,49,17,7,58,84.48,0,0,1,3,0,SB Bangar
I Malhotra,1,1,1,7,7,0,4,175,0,0,1,0,0,I Malhotra
Luke Wright,7,6,1,106,44,21.2,60,176.66,0,0,16,3,0,LJ Wright
Ben Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0,0,BR Dunk
S Sriram,2,2,0,31,27,15.5,36,86.11,0,0,3,0,0,S Sriram
Sachin Rana,11,8,4,91,19,22.75,81,112.34,0,0,9,1,0,S Rana
Vijay Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1,0,VH Zol
Jagadeesha Suchith,14,6,5,48,34,48,32,150,0,0,4,2,0,J Suchith
Parveez Rasool,11,5,3,17,10,8.5,20,85,0,0,1,0,0,Parvez Rasool
Sunil Narine,66,18,11,47,13,6.71,54,87.03,0,0,2,2,0,SP Narine
RR Raje,10,5,4,20,11,20,18,111.11,0,0,1,1,0,RR Raje
Kyle Abbott,5,3,2,13,12,13,8,162.5,0,0,0,1,0,KJ Abbott
Sam Billings,5,4,0,88,54,22,64,137.5,0,1,4,4,0,SW Billings
Sunny Singh,6,5,1,43,20,10.75,31,138.7,0,0,6,1,0,Sunny Singh
Nikhil Naik,2,2,0,23,22,11.5,31,74.19,0,0,1,0,0,NS Naik
Ankit Sharma,20,9,3,62,30,10.33,52,119.23,0,0,5,3,0,Ankit Sharma
WA Mota,12,8,2,56,25,9.33,75,74.66,0,0,2,0,0,WA Mota
Mahesh Rawat,18,12,7,55,23,11,69,79.71,0,0,4,1,0,M Rawat
Pradeep Sahu,5,2,1,19,18,19,13,146.15,0,0,1,1,0,P Sahu
Aakash Chopra,7,6,0,53,24,8.83,71,74.64,0,0,7,0,0,A Chopra
Ben Cutting,5,5,2,73,39,24.33,40,182.5,0,0,4,7,0,BCJ Cutting
Balachandra Akhil,15,11,5,76,27,12.66,55,138.18,0,0,5,5,0,B Akhil
Amit Paunikar,5,5,0,49,20,9.8,58,84.48,0,0,9,0,0,AG Paunikar
Mitchell McClenaghan,26,8,4,47,20,11.75,29,162.06,0,0,2,5,0,MJ McClenaghan
KC Cariappa,6,2,1,13,12,13,11,118.18,0,0,0,1,0,KC Cariappa
Ashish Nehra,82,20,13,41,22,5.85,62,66.12,0,0,3,1,0,A Nehra
Nathan McCullum,2,2,1,26,15,26,22,118.18,0,0,0,1,0,NL McCullum
Umesh Yadav,80,21,14,84,24,12,77,109.09,0,0,8,3,0,UT Yadav
Ishant Sharma,70,19,15,37,9,9.25,46,80.43,0,0,2,1,0,I Sharma
Shoaib Malik,7,5,1,52,24,13,47,110.63,0,0,5,0,0,Shoaib Malik
Carlos Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,6,8,0,CR Brathwaite
Sohail Tanvir,11,5,2,36,13,12,29,124.13,0,0,3,1,0,Sohail Tanvir
DNT Zoysa,3,2,1,11,10,11,9,122.22,0,0,1,0,0,DNT Zoysa
C Madan,1,1,0,15,15,15,19,78.94,0,0,3,0,0,C Madan
Krishnakant Upadhyay,3,2,2,12,11,0,9,133.33,0,0,0,1,0,K Upadhyay
Colin Ingram,3,3,1,21,13,10.5,26,80.76,0,0,2,0,0,CA Ingram
Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1,0,Anirudh Singh
Umar Gul,6,4,1,39,24,13,19,205.26,0,0,1,5,0,Umar Gul
Shadab Jakati,57,8,7,28,13,28,29,96.55,0,0,3,0,0,SB Jakati
Luke Ronchi,5,5,0,34,13,6.8,34,100,0,0,6,1,0,L Ronchi
Kane Richardson,14,4,1,36,26,12,39,92.3,0,0,2,1,0,KW Richardson
Farhaan Behardien,3,3,1,14,9,7,13,107.69,0,0,2,0,0,F Behardien
Munaf Patel,61,14,9,39,23,7.8,40,97.5,0,0,5,0,0,MM Patel
Tatenda Taibu,3,3,0,31,15,10.33,26,119.23,0,0,3,0,0,T Taibu
Aditya Dole,3,2,0,34,30,17,22,154.54,0,0,3,1,0,AP Dole
Jimmy Neesham,4,3,0,42,22,14,46,91.3,0,0,3,1,0,JDS Neesham
Shaun Tait,21,5,2,23,11,7.66,26,88.46,0,0,1,1,0,SW Tait
RP Singh,82,30,15,52,10,3.46,76,68.42,0,0,2,1,0,RP Singh
Travis Birt,5,5,0,75,27,15,58,129.31,0,0,9,2,0,TR Birt
Alfonso Thomas,15,4,2,20,12,10,19,105.26,0,0,1,1,0,AC Thomas
Manpreet Gony,43,17,7,99,42,9.9,71,139.43,0,0,6,8,0,MS Gony
Shardul Thakur,1,1,1,7,7,0,6,116.66,0,0,1,0,0,SN Thakur
Iqbal Abdulla,47,12,10,83,33,41.5,77,107.79,0,0,9,1,0,Iqbal Abdulla
Charl Langeveldt,7,2,0,8,8,4,9,88.88,0,0,0,1,0,CK Langeveldt
Eklavya Dwivedi,4,2,0,24,19,12,14,171.42,0,0,2,2,0,ER Dwivedi
DP Vijaykumar,9,2,2,1,1,0,1,100,0,0,0,0,0,DP Vijaykumar
Ronit More,2,1,1,2,2,0,2,100,0,0,0,0,0,RG More
Ashley Noffke,1,1,0,9,9,9,10,90,0,0,1,0,0,AA Noffke
Barinder Sran,15,4,4,4,2,0,4,100,0,0,0,0,0,BB Sran
Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4,0,RE Levi
Anil Kumble,42,17,14,35,8,11.66,47,74.46,0,0,3,0,0,A Kumble
JM Kemp,5,2,0,26,22,13,24,108.33,0,0,1,1,0,JM Kemp
Jason Holder,11,5,0,38,16,7.6,31,122.58,0,0,4,2,0,JO Holder
Travis Head,3,3,1,54,37,27,40,135,0,0,3,2,0,TM Head
Y Gnaneswara Rao,2,1,0,19,19,19,17,111.76,0,0,3,0,0,Y Gnaneswara Rao
Ishan Kishan,5,5,0,42,27,8.4,41,102.43,0,0,5,0,0,Ishan Kishan
Kemar Roach,2,1,0,10,10,10,9,111.11,0,0,1,0,0,KAJ Roach
R Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2,0,R Bishnoi
Shalabh Srivastava,14,4,3,5,3,5,5,100,0,0,0,0,0,SJ Srivastava
VRV Singh,19,2,0,4,4,2,3,133.33,0,0,1,0,0,VRV Singh
Michael Klinger,4,4,0,73,29,18.25,77,94.8,0,0,9,0,0,M Klinger
Mohit Sharma,61,15,7,61,21,7.62,52,117.3,0,0,4,3,0,MM Sharma
Shivnarine Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,4,0,0,S Chanderpaul
Varun Aaron,36,8,5,42,17,14,45,93.33,0,0,2,2,0,VR Aaron
Wayne Parnell,26,13,4,63,16,7,75,84,0,0,4,1,0,WD Parnell
Andrew Flintoff,3,3,1,62,24,31,53,116.98,0,0,5,2,0,A Flintoff
Dinesh Salunkhe,6,3,1,33,26,16.5,24,137.5,0,0,5,0,0,D Salunkhe
Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2,0,DJ Thornely
Ravi Rampaul,12,7,2,51,23,10.2,50,102,0,0,3,2,0,R Rampaul
Martin Guptill,3,3,0,57,48,19,55,103.63,0,0,3,3,0,MJ Guptill
JJ van der Wath,3,3,1,18,14,9,16,112.5,0,0,1,1,0,JJ van der Wath
Yuzvendra Chahal,43,4,4,2,1,0,2,100,0,0,0,0,0,YS Chahal
Azhar Bilakhia,7,7,2,69,22,13.8,85,81.17,0,0,5,0,0,AA Bilakhia
Nathan Rimmington,1,1,1,1,1,0,1,100,0,0,0,0,0,NJ Rimmington
Rilee Rossouw,5,5,0,53,24,10.6,51,103.92,0,0,3,3,0,RR Rossouw
Ramesh Powar,27,10,7,67,28,22.33,64,104.68,0,0,6,1,0,RR Powar
Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1,0,RR Sarwan
Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,7,6,0,Shahid Afridi
