Chris Gayle,92,91,12,3426,175,43.36,2235,153.28,5,20,279,251,1,CH Gayle
David Warner,100,100,12,3373,109,38.32,2372,142.2,2,32,338,134,1,DA Warner
AB de Villiers,120,109,26,3257,133,39.24,2181,149.33,3,21,275,140,1,AB de Villiers
Ajinkya Rahane,95,89,13,2675,103,35.19,2212,120.93,1,23,285,51,1,AM Rahane
Jacques Kallis,98,96,11,2427,89,28.55,2222,109.22,0,17,255,44,1,JH Kallis
Robin Uthappa,135,130,15,3390,83,29.47,2635,128.65,0,17,341,104,1,RV Uthappa
Shikhar Dhawan,113,112,16,3082,95,32.1,2546,121.05,0,25,348,62,1,S Dhawan
MS Dhoni,143,128,45,3271,70,39.4,2354,138.95,0,16,236,140,1,MS Dhoni
