Manoj Tiwary,78,68,22,1324,75,28.78,1169,113.25,0,5,121,28,3,MK Tiwary
Ravindra Jadeja,126,99,31,1574,48,23.14,1297,121.35,0,0,112,53,3,RA Jadeja
Naman Ojha,98,88,18,1474,94,21.05,1244,118.48,0,6,119,76,3,NV Ojha
Kieron Pollard,106,97,29,1958,78,28.79,1323,147.99,0,9,131,125,3,KA Pollard
Kumar Sangakkara,71,68,3,1687,94,25.95,1392,121.19,0,10,195,27,3,KC Sangakkara
Dwayne Smith,64,63,3,1864,87,31.06,1411,132.1,0,15,195,92,3,DR Smith
Sourav Ganguly,59,56,3,1348,91,25.43,1262,106.81,0,7,137,42,3,SC Ganguly
Subramaniam Badrinath,95,67,20,1441,71,30.65,1212,118.89,0,11,154,28,3,S Badrinath
