JA Morkel,P Awana,0,1,0,0,0,0
DJ Bravo,P Awana,1,0,0,0,0,0
DJ Bravo,P Awana,0,0,0,0,1,0
DJ Bravo,P Awana,0,1,0,0,0,0
DJ Bravo,Azhar Mahmood,0,1,0,0,0,0
JA Morkel,Azhar Mahmood,0,0,0,0,1,0
JA Morkel,Azhar Mahmood,0,0,0,0,0,1
JA Morkel,Azhar Mahmood,1,0,0,0,0,0
JA Morkel,Azhar Mahmood,1,0,0,0,0,0
DJ Bravo,Azhar Mahmood,0,1,0,0,0,0
DJ Bravo,RJ Harris,0,0,1,0,0,0
DJ Bravo,RJ Harris,0,0,1,0,0,0
DJ Bravo,RJ Harris,0,1,0,0,0,0
S Anirudha,RJ Harris,0,1,0,0,0,0
DJ Bravo,RJ Harris,1,0,0,0,0,0
R Ashwin,RJ Harris,0,1,0,0,0,0
AC Gilchrist,BW Hilfenhaus,0,1,0,0,0,0
Mandeep Singh,BW Hilfenhaus,1,0,0,0,0,0
Mandeep Singh,BW Hilfenhaus,1,0,0,0,0,0
Mandeep Singh,BW Hilfenhaus,0,0,0,0,1,0
Mandeep Singh,BW Hilfenhaus,1,0,0,0,0,0
Mandeep Singh,BW Hilfenhaus,0,0,0,0,1,0
AC Gilchrist,JA Morkel,0,1,0,0,0,0
AC Gilchrist,JA Morkel,0,1,0,0,0,0
AC Gilchrist,JA Morkel,1,0,0,0,0,0
AC Gilchrist,JA Morkel,0,0,0,0,1,0
AC Gilchrist,JA Morkel,0,0,0,0,1,0
AC Gilchrist,JA Morkel,1,0,0,0,0,0
AC Gilchrist,JA Morkel,0,1,0,0,0,0
Mandeep Singh,JA Morkel,0,1,0,0,0,0
Mandeep Singh,BW Hilfenhaus,1,0,0,0,0,0
Mandeep Singh,BW Hilfenhaus,1,0,0,0,0,0
Mandeep Singh,BW Hilfenhaus,0,1,0,0,0,0
AC Gilchrist,BW Hilfenhaus,0,0,0,0,1,0
AC Gilchrist,BW Hilfenhaus,1,0,0,0,0,0
AC Gilchrist,BW Hilfenhaus,1,0,0,0,0,0
Mandeep Singh,R Ashwin,0,0,0,0,1,0
Mandeep Singh,R Ashwin,0,1,0,0,0,0
AC Gilchrist,R Ashwin,0,1,0,0,0,0
Mandeep Singh,R Ashwin,1,0,0,0,0,0
Mandeep Singh,R Ashwin,1,0,0,0,0,0
Mandeep Singh,R Ashwin,1,0,0,0,0,0
AC Gilchrist,BW Hilfenhaus,1,0,0,0,0,0
AC Gilchrist,BW Hilfenhaus,0,1,0,0,0,0
Mandeep Singh,BW Hilfenhaus,0,1,0,0,0,0
AC Gilchrist,BW Hilfenhaus,1,0,0,0,0,0
AC Gilchrist,BW Hilfenhaus,1,0,0,0,0,0
