,bat_cluster,bowl_cluster,zero,one,two,three,four,six,no_of_balls,c_zero,c_one,c_two,c_three,c_four,c_six
1,0,0,0.3581213307,0.4246575342,0.0626223092,0.0039138943,0.1135029354,0.0352250489,511,0.3581213307,0.7827788649,0.8454011741,0.8493150684,0.9628180038,0.9980430527
2,0,2,0.4149659864,0.3401360544,0.074829932,0.0136054422,0.1088435374,0.0476190476,147,0.4149659864,0.7551020408,0.8299319728,0.843537415,0.9523809524,1
3,0,3,0.4285714286,0.4285714286,0,0,0.1428571429,0,7,0.4285714286,0.8571428572,0.8571428572,0.8571428572,1.0000000001,1.0000000001
4,0,4,0.4523809524,0.4285714286,0.0238095238,0,0.0238095238,0.0714285714,42,0.4523809524,0.880952381,0.9047619048,0.9047619048,0.9285714286,1
5,0,5,0.4423076923,0.4038461538,0.0384615385,0.0192307692,0.0769230769,0.0192307692,52,0.4423076923,0.8461538461,0.8846153846,0.9038461538,0.9807692307,0.9999999999
6,0,6,0,0.5,0,0,0,0.5,4,0,0.5,0.5,0.5,0.5,1
7,0,7,0.3846153846,0.3846153846,0.0769230769,0,0.0769230769,0.0769230769,13,0.3846153846,0.7692307692,0.8461538461,0.8461538461,0.923076923,0.9999999999
8,0,8,0.4455445545,0.3531353135,0.0660066007,0.004950495,0.0891089109,0.0412541254,606,0.4455445545,0.798679868,0.8646864687,0.8696369637,0.9587458746,1
9,0,9,0.3507853403,0.4136125654,0.0785340314,0,0.1204188482,0.0366492147,191,0.3507853403,0.7643979057,0.8429319371,0.8429319371,0.9633507853,1
10,0,10,0.4307417337,0.3780160858,0.0652368186,0.000894,0.0938337802,0.0294906166,1119,0.4307417337,0.8087578195,0.8739946381,0.8748886381,0.9687224183,0.9982130349
11,0,11,0.5294117647,0.4117647059,0.0588235294,0,0,0,17,0.5294117647,0.9411764706,1,1,1,1
12,1,0,0.3128964059,0.4372093023,0.0718816068,0.0029598309,0.1196617336,0.0520084567,2365,0.3128964059,0.7501057082,0.821987315,0.8249471459,0.9446088795,0.9966173362
13,1,1,0.3333333333,0.1666666667,0.0833333333,0,0.1666666667,0.1666666667,12,0.3333333333,0.5,0.5833333333,0.5833333333,0.75,0.9166666667
14,1,2,0.2922885572,0.4825870647,0.0721393035,0.0087064677,0.0957711443,0.0472636816,804,0.2922885572,0.7748756219,0.8470149254,0.8557213931,0.9514925374,0.998756219
15,1,3,0.2962962963,0.3827160494,0.0617283951,0,0.1975308642,0.0617283951,81,0.2962962963,0.6790123457,0.7407407408,0.7407407408,0.938271605,1.0000000001
