Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundreds,fiftys,fours,sixes,CLUSTER
Kemar Roach,2,1,0,10,10,10,9,111.11,0,0,1,0,0
R Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2,0
Shalabh Srivastava,14,4,3,5,3,5,5,100,0,0,0,0,0
VRV Singh,19,2,0,4,4,2,3,133.33,0,0,1,0,0
Michael Klinger,4,4,0,73,29,18.25,77,94.8,0,0,9,0,0
Mohit Sharma,61,15,7,61,21,7.62,52,117.3,0,0,4,3,0
Shivnarine Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,4,0,0
Varun Aaron,36,8,5,42,17,14,45,93.33,0,0,2,2,0
Wayne Parnell,26,13,4,63,16,7,75,84,0,0,4,1,0
Andrew Flintoff,3,3,1,62,24,31,53,116.98,0,0,5,2,0
Dinesh Salunkhe,6,3,1,33,26,16.5,24,137.5,0,0,5,0,0
Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2,0
Ravi Rampaul,12,7,2,51,23,10.2,50,102,0,0,3,2,0
Martin Guptill,3,3,0,57,48,19,55,103.63,0,0,3,3,0
JJ van der Wath,3,3,1,18,14,9,16,112.5,0,0,1,1,0
Yuzvendra Chahal,43,4,4,2,1,0,2,100,0,0,0,0,0
Azhar Bilakhia,7,7,2,69,22,13.8,85,81.17,0,0,5,0,0
Nathan Rimmington,1,1,1,1,1,0,1,100,0,0,0,0,0
Rilee Rossouw,5,5,0,53,24,10.6,51,103.92,0,0,3,3,0
Ramesh Powar,27,10,7,67,28,22.33,64,104.68,0,0,6,1,0
Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1,0
Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,7,6,0
Chris Gayle,92,91,12,3426,175,43.36,2235,153.28,5,20,279,251,1
David Warner,100,100,12,3373,109,38.32,2372,142.2,2,32,338,134,1
AB de Villiers,120,109,26,3257,133,39.24,2181,149.33,3,21,275,140,1
Ajinkya Rahane,95,89,13,2675,103,35.19,2212,120.93,1,23,285,51,1
Jacques Kallis,98,96,11,2427,89,28.55,2222,109.22,0,17,255,44,1
Robin Uthappa,135,130,15,3390,83,29.47,2635,128.65,0,17,341,104,1
Shikhar Dhawan,113,112,16,3082,95,32.1,2546,121.05,0,25,348,62,1
MS Dhoni,143,128,45,3271,70,39.4,2354,138.95,0,16,236,140,1
Kevin Pietersen,36,36,9,1001,103,37.07,743,134.72,1,4,91,40,2
Matthew Hayden,32,32,2,1107,93,36.9,805,137.51,0,8,121,44,2
Andrew Symonds,39,36,9,974,117,36.07,750,129.86,1,5,74,41,2
Herschelle Gibbs,36,36,4,886,69,27.68,807,109.78,0,6,83,31,2
Graeme Smith,29,29,3,739,91,28.42,668,110.62,0,4,94,9,2
Eoin Morgan,48,41,5,789,66,21.91,643,122.7,0,4,66,32,2
Lendl Simmons,22,22,2,942,100,47.1,740,127.29,1,9,99,36,2
Manvinder Bisla,39,39,1,798,92,21,702,113.67,0,4,93,23,2
Mandeep Singh,59,49,4,924,77,20.53,743,124.36,0,4,113,14,2
Karun Nair,41,37,4,877,83,26.57,686,127.84,0,7,96,20,2
Mayank Agarwal,50,45,2,788,68,18.32,633,124.48,0,3,79,33,2
Cameron White,47,45,9,954,78,26.5,755,126.35,0,6,76,36,2
Sanju Samson,52,48,6,1040,76,24.76,873,119.12,0,5,80,38,2
Manoj Tiwary,78,68,22,1324,75,28.78,1169,113.25,0,5,121,28,3
Ravindra Jadeja,126,99,31,1574,48,23.14,1297,121.35,0,0,112,53,3
Naman Ojha,98,88,18,1474,94,21.05,1244,118.48,0,6,119,76,3
Kieron Pollard,106,97,29,1958,78,28.79,1323,147.99,0,9,131,125,3
Kumar Sangakkara,71,68,3,1687,94,25.95,1392,121.19,0,10,195,27,3
Dwayne Smith,64,63,3,1864,87,31.06,1411,132.1,0,15,195,92,3
Sourav Ganguly,59,56,3,1348,91,25.43,1262,106.81,0,7,137,42,3
Subramaniam Badrinath,95,67,20,1441,71,30.65,1212,118.89,0,11,154,28,3
Saurabh Tiwary,80,63,19,1224,61,27.81,1024,119.53,0,6,84,45,4
Brad Hodge,66,63,21,1400,73,33.33,1118,125.22,0,6,122,43,4
Francois du Plessis,51,45,3,1287,73,30.64,1005,128.05,0,8,109,38,4
Tillakaratne Dilshan,52,50,7,1153,76,26.81,1007,114.49,0,9,140,24,4
Wriddhiman Saha,90,69,18,1323,115,25.94,1004,131.77,1,5,110,49,4
Aaron Finch,52,51,5,1304,88,28.34,1049,124.3,0,11,145,40,4
Dwayne Bravo,106,83,28,1262,70,22.94,999,126.32,0,4,102,48,4
Irfan Pathan,102,81,29,1137,60,21.86,943,120.57,0,1,87,37,4
Steve Smith,54,47,13,1231,101,36.2,906,135.87,1,2,112,33,4
David Hussey,64,61,12,1322,71,26.97,1075,122.97,0,5,90,60,4
David Miller,61,60,19,1480,101,36.09,1025,144.39,1,8,100,74,4
Yusuf Pathan,134,122,32,2761,100,30.67,1881,146.78,1,12,230,140,5
Rahul Dravid,89,82,5,2174,75,28.23,1882,115.51,0,11,269,28,5
Brendon McCullum,92,92,5,2434,158,27.97,1881,129.39,2,11,248,106,5
