Samuel Badree,5,5,18,131,2,0.0526315789,65.5,7.27,54,0,0,S Badree,4
Manoj Tiwary,78,5,6,73,1,0,73,12.16,36,0,0,MK Tiwary,4
Pat Cummins,4,4,14,126,2,0.0344827586,63,9,42,0,0,PJ Cummins,4
Tillakaratne Dilshan,52,25,45.1,366,5,0.1428571429,73.2,8.1,54.2,0,0,TM Dilshan,4
Luke Wright,7,6,11.5,124,2,0.0833333333,62,10.47,35.5,0,0,LJ Wright,4
Parveez Rasool,11,11,33,271,4,0.05,67.75,8.21,49.5,0,0,Parvez Rasool,4
Pawan Suyal,5,5,16,151,2,0.0476190476,75.5,9.43,48,0,0,P Suyal,4
Ben Laughlin,2,2,7,71,1,0.04,71,10.14,42,0,0,B Laughlin,4
Jason Holder,11,11,36,306,5,0.1,61.2,8.5,43.2,0,0,JO Holder,4
