Rahul Shukla,7,7,20,208,5,0.0714285714,41.6,10.4,24,0,0,R Shukla,9
Jasprit Bumrah,31,31,113.4,961,26,0.2307692308,36.96,8.45,26.23,0,0,JJ Bumrah,9
Suraj Randiv,8,8,29,223,6,0.0833333333,37.16,7.68,29,0,0,S Randiv,9
Shivam Sharma,5,5,19,165,4,0.0769230769,41.25,8.68,28.5,0,0,Shivam Sharma,9
Ali Murtaza,12,12,44,313,9,0.2,34.77,7.11,29.33,0,0,AG Murtaza,9
Shoaib Malik,7,5,8.3,85,2,0.1666666667,42.5,10,25.5,0,0,Shoaib Malik,9
Jesse Ryder,29,16,39.2,303,8,0.1428571429,37.87,7.7,29.5,0,0,JD Ryder,9
Virender Sehwag,104,15,22.4,235,6,0.1111111111,39.16,10.36,22.66,0,0,V Sehwag,9
Pankaj Singh,20,17,50,468,11,0.1111111111,42.54,9.36,27.27,0,0,Pankaj Singh,9
Stuart Binny,72,53,84,631,17,0.1428571429,37.11,7.51,29.64,0,0,STR Binny,9
Praveen Kumar,113,113,404.1,3100,84,0.1666666667,36.9,7.67,28.86,0,0,P Kumar,9
Mohammad Asif,8,8,32,296,8,0.1052631579,37,9.25,24,0,0,Mohammad Asif,9
JJ van der Wath,3,3,12,129,3,0.0408163265,43,10.75,24,0,0,JJ van der Wath,9
Rishi Dhawan,26,25,81.2,640,18,0.1428571429,35.55,7.86,27.11,0,0,R Dhawan,9
