Suresh Raina,147,62,138.2,1010,24,0,42.08,7.3,34.58,0,0,SK Raina,2
Vikramjeet Malik,13,13,34.1,261,6,0.1428571429,43.5,7.63,34.16,0,0,VS Malik,2
Sarabjit Ladda,9,9,23,224,5,0.0454545455,44.8,9.73,27.6,0,0,S Ladda,2
Shahbaz Nadeem,48,46,168,1200,31,0.1875,38.7,7.14,32.51,0,0,S Nadeem,2
Pawan Negi,29,24,72,591,14,0.2222222222,42.21,8.2,30.85,1,0,P Negi,2
Tim Southee,26,26,100,818,19,0.125,43.05,8.18,31.57,0,0,TG Southee,2
Balachandra Akhil,15,13,31.2,242,6,0.1176470588,40.33,7.72,31.33,0,0,B Akhil,2
Mohammed Shami,31,30,95.1,843,18,0.1,46.83,8.85,31.72,0,0,Mohammed Shami,2
VRV Singh,19,18,60,542,12,0.1034482759,45.16,9.03,30,0,0,VRV Singh,2
Murali Kartik,56,55,191.3,1388,31,0.1764705882,44.77,7.24,37.06,0,0,M Kartik,2
