Kuldeep Yadav,3,3,12,100,6,0.0857142857,16.66,8.33,12,0,0,Kuldeep Yadav,8
Robin Peterson,5,4,8,70,3,0.0810810811,23.33,8.75,16,0,0,RJ Peterson,8
Sreenath Aravind,28,28,96.1,764,40,0.2857142857,19.1,7.94,14.42,2,0,S Aravind,8
Dhawal Kulkarni,66,66,217.1,1708,73,0.2857142857,23.39,7.86,17.84,1,0,DS Kulkarni,8
Gurkeerat Mann Singh,28,6,13,97,5,0.1333333333,19.4,7.46,15.6,0,0,Gurkeerat Singh,8
Kevon Cooper,25,25,96,757,33,0.1538461538,22.93,7.88,17.45,1,0,KK Cooper,8
MA Khote,4,2,5,51,2,0.0689655172,25.5,10.2,15,0,0,MA Khote,8
Paul Collingwood,8,6,14.5,101,5,0.1052631579,20.2,6.8,17.8,0,0,PD Collingwood,8
Sunil Narine,66,66,262,1619,85,0.2631578947,19.04,6.17,18.49,6,1,SP Narine,8
WA Mota,12,7,12,97,4,0.1666666667,24.25,8.08,18,0,0,WA Mota,8
Ben Hilfenhaus,17,17,62,479,22,0.1111111111,21.77,7.72,16.9,0,0,BW Hilfenhaus,8
Nathan Coulter0Nile,18,17,65.3,491,21,0.2,23.38,7.49,18.71,1,0,NM Coulter0Nile,8
Munaf Patel,61,61,218.5,1641,73,0.2380952381,22.47,7.49,17.98,2,1,MM Patel,8
Dwayne Bravo,106,103,336.2,2754,122,0.1818181818,22.57,8.18,16.54,2,0,DJ Bravo,8
Mitchell Starc,27,26,96.4,693,34,0.2666666667,20.38,7.16,17.05,1,0,MA Starc,8
Imran Tahir,20,20,72.2,623,29,0.1428571429,21.48,8.61,14.96,1,0,Imran Tahir,8
S Lasith Malinga,98,98,381.3,2546,143,0.3846153846,17.8,6.67,16,4,1,SL Malinga,8
Ryan Ninan,2,2,6,65,3,0.064516129,21.66,10.83,12,0,0,R Ninan,8
Mitchell Marsh,20,18,52.3,414,20,0.16,20.7,7.88,15.75,1,0,MR Marsh,8
Sandeep Sharma,43,43,156.1,1189,54,0.16,22.01,7.61,17.35,1,0,Sandeep Sharma,8
JM Kemp,5,5,7.2,54,3,0.25,18,7.36,14.66,0,0,JM Kemp,8
Shikhar Dhawan,113,6,8,66,4,0.1428571429,16.5,8.25,12,0,0,S Dhawan,8
VY Mahesh,18,17,56.3,499,21,0.1111111111,23.76,8.83,16.14,1,0,VY Mahesh,8
Mohit Sharma,61,61,210,1666,70,0.2857142857,23.8,7.93,18,1,0,MM Sharma,8
YA Abdulla,11,11,34.5,307,15,0.1290322581,20.46,8.81,13.93,2,0,YA Abdulla,8
Ravi Rampaul,12,12,43.4,298,14,0.0967741935,21.28,6.82,18.71,0,0,R Rampaul,8
Yuzvendra Chahal,43,42,155,1236,56,0.16,22.07,7.97,16.6,1,0,YS Chahal,8
