Joginder Sharma,16,15,42.4,419,12,0.0740740741,34.91,9.82,21.33,0,0,Joginder Sharma,0
Yusuf Pathan,134,76,184.2,1351,41,0.2727272727,32.95,7.32,26.97,0,0,YK Pathan,0
Harshal Patel,35,33,109.5,928,31,0.1666666667,29.93,8.44,21.25,0,0,HV Patel,0
P Parameswaran,5,5,15.4,137,4,0.1,34.25,8.74,23.5,0,0,P Parameswaran,0
Yogesh Nagar,26,8,11,125,4,0.1,31.25,11.36,16.5,0,0,Y Nagar,0
Murugan Ashwin,10,10,28.3,241,7,0.0833333333,34.42,8.45,24.42,0,0,M Ashwin,0
Kevin Pietersen,36,13,29,215,7,0.064516129,30.71,7.41,24.85,0,0,KP Pietersen,0
Siddharth Trivedi,76,75,251,1904,65,0.16,29.29,7.58,23.16,1,0,SK Trivedi,0
Pradeep Sangwan,33,33,113.4,975,30,0.1666666667,32.5,8.57,22.73,0,0,PJ Sangwan,0
Bhargav Bhatt,17,15,49.2,397,12,0.1818181818,33.08,8.04,24.66,1,0,BA Bhatt,0
Tirumalasetti Suman,43,11,25,197,6,0.1428571429,32.83,7.88,25,0,0,TL Suman,0
P Amarnath,6,6,22,236,7,0.0689655172,33.71,10.72,18.85,0,0,P Amarnath,0
Shivil Kaushik,7,7,23,192,6,0.15,32,8.34,23,0,0,S Kaushik,0
Umesh Yadav,80,79,273.5,2297,74,0.1666666667,31.04,8.38,22.2,1,0,UT Yadav,0
Harmeet Singh,27,26,84.3,674,25,0.125,26.96,7.97,20.28,0,0,Harmeet Singh,0
Harmeet Singh,1,1,4,34,1,0.0294117647,34,8.5,24,0,0,Harmeet Singh,0
Karn Sharma,46,46,141.4,1109,36,0.1052631579,30.8,7.82,23.61,1,0,KV Sharma,0
Shadab Jakati,57,55,175.5,1398,47,0.1818181818,29.74,7.95,22.44,2,0,SB Jakati,0
Yuvraj Singh,108,69,140.5,1032,35,0.1379310345,29.48,7.32,24.14,2,0,Yuvraj Singh,0
Sanath Jayasuriya,30,21,49,390,13,0.2142857143,30,7.95,22.61,0,0,ST Jayasuriya,0
Manpreet Gony,43,43,146,1255,37,0.0967741935,33.91,8.59,23.67,0,0,MS Gony,0
Shardul Thakur,1,1,3,38,1,0.0263157895,38,12.66,18,0,0,SN Thakur,0
Lendl Simmons,22,1,3,34,1,0,34,11.33,18,0,0,LMP Simmons,0
Barinder Sran,15,15,52.3,448,14,0.1071428571,32,8.53,22.5,0,0,BB Sran,0
Irfan Pathan,102,100,338.3,2623,80,0.125,32.78,7.74,25.38,0,0,IK Pathan,0
Shalabh Srivastava,14,14,47,441,14,0.1,31.5,9.38,20.14,0,0,SJ Srivastava,0
KP Appanna,14,13,36,286,9,0.2105263158,31.77,7.94,24,1,0,KP Appanna,0
Varun Aaron,36,34,120.4,1056,31,0.1875,34.06,8.75,23.35,0,0,VR Aaron,0
